,LandValue,BuildValue,TotalValue,SchoolDist,CityName,YearBuilt,SqMeters,LandUse,avgAge,density,buildCover,pvmnt,treecover,parkDist,water
1,128900.0,331100.0,460000.0,001,MINNEAPOLIS,1953,5616.80514736,RESIDENTIAL,50.2,3202.723158176488,111,220,335,73.23933410644531,0
2,629200.0,443300.0,1072500.0,278,MEDINA,2019,1472813.76234274,RESIDENTIAL,46.9,103.86320130161,26,123,242,317.3200378417969,0
3,33000.0,97900.0,130900.0,279,BROOKLYN PARK,1977,5375.76201827,RESIDENTIAL-ZERO LOT LINE,27.3,6514.992970986604,76,222,269,228.4731903076172,0
5,219800.0,350300.0,570100.0,0625,ST PAUL,1912,8999.5,Res 1 unit,41.6,7890.789374000986,0,0,0,281.2330017089844,900
6,30000.0,121200.0,151200.0,0625,ST PAUL,1981,849.42,Res 1 unit,50.5,7096.919475839011,63,281,313,192.0,25
7,377800.0,155200.0,533000.0,0624,VADNAIS HEIGHTS,1933,79897.75,Res 1 unit,25.6,1326.4614544492151,0,14,16,549.5488891601562,852
8,78000.0,172000.0,250000.0,281,NEW HOPE,1968,10807.54593753,RESIDENTIAL,32.7,6048.910958603287,94,110,466,349.4452819824219,0
9,26100.0,319900.0,346000.0,001,MINNEAPOLIS,1998,25494.75076153,CONDOMINIUM,34.1,13313.627830533704,0,0,0,126.57012939453125,0
10,44600.0,193900.0,238500.0,001,MINNEAPOLIS,1925,5157.36845956,RESIDENTIAL,35.6,6161.218233695987,0,0,0,174.0,0
11,50000.0,265800.0,315800.0,279,BROOKLYN PARK,1978,10955.53884839,RESIDENTIAL-TWO UNIT,27.3,6514.992970986604,174,282,284,18.0,0
12,191000.0,410200.0,601200.0,0625,ST PAUL,1922,7226.6,Res 1 unit,47.2,2994.06183278603,80,241,394,40.24922180175781,22
13,72000.0,256000.0,328000.0,011,CHAMPLIN,1996,11600.44576934,RESIDENTIAL,49.0,2697.0559051664804,130,423,117,30.5941162109375,0
14,40000.0,133300.0,173300.0,284,MINNETONKA,1984,134555.59186736,CONDOMINIUM,50.2,1503.1007351861917,124,177,378,165.08180236816406,0
15,176000.0,354600.0,530600.0,272,EDEN PRAIRIE,1986,20082.74563873,RESIDENTIAL,31.4,1603.9981771843916,13,68,259,229.65191650390625,0
16,50000.0,105500.0,155500.0,0624,VADNAIS HEIGHTS,1981,4085.93,Res 1 unit,48.9,1939.6251519300702,172,216,354,171.9185791015625,0
17,55000.0,154800.0,209800.0,011,BROOKLYN PARK,1975,10560.16756797,RESIDENTIAL,35.0,2393.860573938122,239,245,297,157.49285888671875,0
18,121000.0,211000.0,332000.0,277,MINNETRISTA,1940,30406.3951319,RESIDENTIAL,49.6,368.70521177115427,17,73,92,288.49957275390625,1
19,22600.0,119900.0,142500.0,001,MINNEAPOLIS,1917,5044.4543073,RESIDENTIAL,25.6,15062.478258588846,0,0,0,450.6395263671875,0
20,100000.0,184000.0,284000.0,280,RICHFIELD,1961,12470.12938962,RESIDENTIAL,37.4,5203.721063429079,0,0,0,36.0,0
21,1000.0,116300.0,117300.0,0625,ST PAUL,1964,,Res 1 unit,37.8,7227.387636165789,30,51,273,114.0,73
22,344100.0,134000.0,478100.0,273,EDINA,1970,22614.96822997,RESIDENTIAL,45.4,1620.3132178181213,0,6,87,16.970561981201172,0
23,58000.0,192000.0,250000.0,011,CHAMPLIN,1980,9932.66371911,RESIDENTIAL,44.6,2888.113877365174,23,57,188,271.52899169921875,57
24,7000.0,451500.0,458500.0,001,MINNEAPOLIS,2006,89923.38697702,CONDOMINIUM,34.1,7784.583487569046,0,0,0,240.0,0
25,600.0,316900.0,317500.0,001,MINNEAPOLIS,1905,77634.3254534,CONDOMINIUM,35.2,6712.513727981718,91,129,240,679.935302734375,0
26,42400.0,123700.0,166100.0,0622,NORTH ST PAUL,1947,8102.16,Res 1 unit,31.5,5631.453218807627,98,193,376,114.0,0
27,6300.0,141200.0,147500.0,0625,ST PAUL,1912,4007.52,Res 1 unit,41.5,5999.835037745881,40,46,284,168.1071014404297,13
28,151700.0,136300.0,288000.0,0625,ST PAUL,1925,5039.89,Res 1 unit,40.1,5328.723157088955,84,260,297,451.95574951171875,0
29,84000.0,396000.0,480000.0,011,CHAMPLIN,2000,11703.64779266,RESIDENTIAL,41.2,1990.1847768466178,152,296,372,18.0,0
30,77100.0,318900.0,396000.0,001,MINNEAPOLIS,1951,5113.89094774,RESIDENTIAL,35.5,6204.974487326345,0,0,0,141.22323608398438,0
31,21000.0,204000.0,225000.0,011,CHAMPLIN,2010,20206.90539977,CONDOMINIUM,36.1,5203.052229574895,66,149,83,162.111083984375,43
32,93600.0,267600.0,361200.0,0624,VADNAIS HEIGHTS,1991,12876.34,Res 1 unit,37.6,1149.2224026161587,179,408,186,318.0566101074219,0
33,80000.0,145400.0,225400.0,0623,ROSEVILLE,1940,12750.01,Res 1 unit,33.9,3671.2441053878624,0,0,0,102.0,900
34,1000.0,209500.0,210500.0,0625,ST PAUL,1983,,Res 1 unit,37.6,24431.855574634123,28,143,251,313.43896484375,7
35,49000.0,104000.0,153000.0,284,PLYMOUTH,1994,64030.2288146,CONDOMINIUM,34.1,4336.200642927399,116,219,342,158.404541015625,0
36,97000.0,133000.0,230000.0,280,RICHFIELD,1953,9332.33100036,RESIDENTIAL,49.0,4533.713522777273,0,0,0,26.83281707763672,0
37,15300.0,169200.0,184500.0,001,MINNEAPOLIS,1929,5820.77157226,RESIDENTIAL,34.2,10320.171962481912,136,305,223,186.0,0
38,103000.0,102000.0,205000.0,270,HOPKINS,1941,6194.30071699,RESIDENTIAL,38.1,5811.975072540201,2,199,7,337.76324462890625,22
39,30000.0,177000.0,207000.0,270,MINNETONKA,1996,15379.29060077,CONDOMINIUM,47.9,1846.1052144679109,101,141,313,350.52532958984375,56
40,20000.0,88000.0,108000.0,281,NEW HOPE,1970,143129.36489899,CONDOMINIUM,47.7,5735.472507347517,104,71,528,240.0,0
41,51200.0,233400.0,284600.0,0623,MAPLEWOOD,1965,10240.96,Res 1 unit,34.3,2110.708620307365,99,373,144,593.15087890625,5
42,52600.0,189400.0,242000.0,001,MINNEAPOLIS,1924,4763.6719405,RESIDENTIAL,34.8,8208.129473896237,0,0,0,480.0,0
43,74600.0,383900.0,458500.0,001,MINNEAPOLIS,1906,5148.12284047,RESIDENTIAL-TWO UNIT,28.9,27807.931696644944,49,488,115,605.3759155273438,4
44,50000.0,146000.0,196000.0,284,PLYMOUTH,1985,1924.99614427,RESIDENTIAL,31.9,3495.535599101146,193,407,111,231.83615112304688,0
45,184000.0,230600.0,414600.0,270,MINNETONKA,1965,25343.85139555,RESIDENTIAL,54.4,1720.7086655031435,28,157,30,48.0,439
46,13000.0,84000.0,97000.0,0625,ST PAUL,1900,4965.84,Res 1 unit,23.4,10805.04307151853,58,332,356,288.56195068359375,11
47,30000.0,116600.0,146600.0,270,MINNETONKA,1983,194466.9653399,CONDOMINIUM,32.4,4564.971290938215,63,281,160,70.22819519042969,0
48,207000.0,282000.0,489000.0,001,MINNEAPOLIS,1941,8190.43953876,RESIDENTIAL,50.2,3202.723158176488,6,74,148,208.7103271484375,0
49,221000.0,187000.0,408000.0,270,GOLDEN VALLEY,1941,11260.93518747,RESIDENTIAL,46.0,2000.1773435445748,111,190,354,174.0,11
50,96000.0,288000.0,384000.0,0625,ST PAUL,1914,5998.21,Res 1 unit,32.6,7851.962629957956,0,53,72,324.4996337890625,0
51,17100.0,118800.0,135900.0,0625,ST PAUL,1907,9500.44,Res 1 unit,23.3,9610.449845854524,0,0,0,78.0,41
52,53400.0,189900.0,243300.0,0621,MOUNDS VIEW,1969,10558.94,Res 1 unit,34.3,2783.345974237591,42,75,304,158.51812744140625,0
53,46000.0,96000.0,142000.0,280,RICHFIELD,1980,255161.48813673,CONDOMINIUM,69.6,8496.050979663823,0,0,0,46.86149978637695,0
55,198800.0,132200.0,331000.0,270,MINNETONKA,1953,36705.69202206,RESIDENTIAL,42.9,2299.5677642808323,0,223,7,436.8066101074219,20
56,14400.0,171900.0,186300.0,0625,ST PAUL,1954,5009.4,Res 1 unit,28.8,12100.95049955193,65,201,473,258.0,0
57,30000.0,150000.0,180000.0,273,EDINA,1972,550200.36874485,CONDOMINIUM,66.2,1563.2945838697967,75,203,390,426.0,0
58,50000.0,141000.0,191000.0,281,BROOKLYN CENTER,1949,10015.43964728,RESIDENTIAL,37.8,983.166356794557,53,112,335,36.0,0
59,76000.0,186000.0,262000.0,281,NEW HOPE,1964,12795.29782549,RESIDENTIAL,29.1,5359.2616734302765,96,173,437,88.58893585205078,0
60,111200.0,138700.0,249900.0,271,BLOOMINGTON,1955,12061.17677747,RESIDENTIAL,41.5,3051.089663915048,0,0,0,271.3300476074219,0
61,114700.0,217400.0,332100.0,0621,SHOREVIEW,1963,15219.86,Res 1 unit,50.5,471.74871181442217,75,146,393,110.30866241455078,31
62,91200.0,226700.0,317900.0,283,ST. LOUIS PARK,1961,6425.36426386,RESIDENTIAL,36.4,5077.890049617148,90,200,322,89.1964111328125,0
63,113400.0,176100.0,289500.0,0621,SHOREVIEW,1955,22659.91,Res 1 unit,39.7,2659.3626680620664,203,393,236,176.46530151367188,0
64,24600.0,146400.0,171000.0,0625,ST PAUL,1946,5209.78,Res 1 unit,26.8,6192.8621938074975,106,164,419,167.35589599609375,10
65,60000.0,188800.0,248800.0,0625,ST PAUL,1922,12401.53,Res 1 unit,39.0,6514.434497833599,15,40,194,159.4239501953125,591
66,69700.0,285500.0,355200.0,0624,WHITE BEAR LAKE,1999,,Res 1 unit,45.1,1500.5007297738134,141,255,259,48.0,0
67,49100.0,232400.0,281500.0,001,MINNEAPOLIS,1910,6612.42661377,RESIDENTIAL,44.1,8976.838682797672,73,122,530,407.2934875488281,0
68,26300.0,194200.0,220500.0,001,MINNEAPOLIS,1925,4895.03181283,RESIDENTIAL,33.6,10634.10877880084,0,0,0,587.2035522460938,0
69,65700.0,203200.0,268900.0,279,MAPLE GROVE,1982,13965.24122963,RESIDENTIAL,37.8,4324.785103961272,128,465,73,118.18629455566406,6
70,21700.0,192800.0,214500.0,001,MINNEAPOLIS,1904,4344.06994944,RESIDENTIAL,36.3,2296.6646887470356,170,212,263,217.41204833984375,0
71,68500.0,125800.0,194300.0,271,BLOOMINGTON,1974,324306.94001683,CONDOMINIUM,42.9,5660.659090040965,0,0,0,313.43896484375,0
72,20700.0,95300.0,116000.0,001,MINNEAPOLIS,1914,6627.86685626,RESIDENTIAL,29.6,3664.0057261396896,149,193,325,654.0,0
73,133800.0,168400.0,302200.0,271,BLOOMINGTON,1957,21718.12270047,RESIDENTIAL,62.0,640.411006562093,0,0,0,42.0,0
74,84800.0,149900.0,234700.0,0622,MAPLEWOOD,1947,29098.08,Res 1 unit,36.5,2271.011437631526,183,312,90,282.0,0
75,135000.0,180000.0,315000.0,282,ST. ANTHONY,1988,13212.58404088,RESIDENTIAL,38.7,4061.476959752377,148,391,117,24.0,0
76,31500.0,420500.0,452000.0,001,MINNEAPOLIS,1900,4615.44029351,RESIDENTIAL-TWO UNIT,34.6,5360.011205524655,25,87,95,390.6916809082031,0
77,12100.0,159900.0,172000.0,001,MINNEAPOLIS,1985,48134.72884955,CONDOMINIUM,36.1,5324.074093452464,0,0,0,550.9882202148438,0
78,12300.0,468700.0,481000.0,001,MINNEAPOLIS,1920,47183.53442685,CONDOMINIUM,34.1,13313.627830533704,0,0,0,301.9735107421875,0
79,35600.0,197900.0,233500.0,001,MINNEAPOLIS,1950,5405.6890173,RESIDENTIAL,26.9,5101.196236580822,13,46,422,369.67010498046875,0
